diagnosisId:ID,icdCode,icdVersion,icdTitle,:LABEL
d_Z6835_10,Z6835,10,"Body mass index (BMI) 35.0-35.9, adult",Diagnosis
d_Z23_10,Z23,10,Encounter for immunization,Diagnosis
d_I7102_10,I7102,10,Dissection of abdominal aorta,Diagnosis
d_1505_9,1505,9,Malignant neoplasm of lower third of esophagus,Diagnosis
d_53085_9,53085,9,Barrett's esophagus,Diagnosis
d_2851_9,2851,9,Acute posthemorrhagic anemia,Diagnosis
d_53560_9,53560,9,"Duodenitis, without mention of hemorrhage",Diagnosis
d_7200_9,7200,9,Ankylosing spondylitis,Diagnosis
d_V641_9,V641,9,Surgical or other procedure not carried out because of contraindication,Diagnosis
d_4241_9,4241,9,Aortic valve disorders,Diagnosis
d_78062_9,78062,9,Postprocedural fever,Diagnosis
d_4293_9,4293,9,Cardiomegaly,Diagnosis
d_5262_9,5262,9,Other cysts of jaws,Diagnosis
d_4558_9,4558,9,Unspecified hemorrhoids with other complication,Diagnosis
d_431_9,431,9,Intracerebral hemorrhage,Diagnosis
d_3314_9,3314,9,Obstructive hydrocephalus,Diagnosis
d_V4987_9,V4987,9,Physical restraints status,Diagnosis
d_V4986_9,V4986,9,Do not resuscitate status,Diagnosis
d_71690_9,71690,9,"Arthropathy, unspecified, site unspecified",Diagnosis
d_V4586_9,V4586,9,Bariatric surgery status,Diagnosis
d_2397_9,2397,9,Neoplasm of unspecified nature of endocrine glands and other parts of nervous system,Diagnosis
d_V4364_9,V4364,9,Hip joint replacement,Diagnosis
d_56409_9,56409,9,Other constipation,Diagnosis
d_V1254_9,V1254,9,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits",Diagnosis
d_73730_9,73730,9,"Scoliosis [and kyphoscoliosis], idiopathic",Diagnosis
d_75612_9,75612,9,Spondylolisthesis,Diagnosis
d_72403_9,72403,9,"Spinal stenosis, lumbar region, with neurogenic claudication",Diagnosis
d_4271_9,4271,9,Paroxysmal ventricular tachycardia,Diagnosis
d_1622_9,1622,9,Malignant neoplasm of main bronchus,Diagnosis
d_V1642_9,V1642,9,Family history of malignant neoplasm of prostate,Diagnosis
d_V163_9,V163,9,Family history of malignant neoplasm of breast,Diagnosis
d_V4561_9,V4561,9,Cataract extraction status,Diagnosis
d_33818_9,33818,9,Other acute postoperative pain,Diagnosis
d_V431_9,V431,9,Lens replaced by other means,Diagnosis
d_36250_9,36250,9,"Macular degeneration (senile), unspecified",Diagnosis
d_V103_9,V103,9,Personal history of malignant neoplasm of breast,Diagnosis
d_E8786_9,E8786,9,"Removal of other organ (partial) (total) causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",Diagnosis
d_J449_10,J449,10,"Chronic obstructive pulmonary disease, unspecified",Diagnosis
d_R6521_10,R6521,10,Severe sepsis with septic shock,Diagnosis
d_E039_10,E039,10,"Hypothyroidism, unspecified",Diagnosis
d_J189_10,J189,10,"Pneumonia, unspecified organism",Diagnosis
d_K649_10,K649,10,Unspecified hemorrhoids,Diagnosis
d_Z66_10,Z66,10,Do not resuscitate,Diagnosis
d_A419_10,A419,10,"Sepsis, unspecified organism",Diagnosis
d_4588_9,4588,9,Other specified hypotension,Diagnosis
d_4260_9,4260,9,"Atrioventricular block, complete",Diagnosis
d_78097_9,78097,9,Altered mental status,Diagnosis
d_I9751_10,I9751,10,Accidental puncture and laceration of a circulatory system organ or structure during a circulatory system procedure,Diagnosis
d_I871_10,I871,10,Compression of vein,Diagnosis
d_Y838_10,Y838,10,"Other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",Diagnosis
d_Y92234_10,Y92234,10,Operating room of hospital as the place of occurrence of the external cause,Diagnosis
d_I82422_10,I82422,10,Acute embolism and thrombosis of left iliac vein,Diagnosis
d_I25119_10,I25119,10,Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris,Diagnosis
d_F17210_10,F17210,10,"Nicotine dependence, cigarettes, uncomplicated",Diagnosis
d_V113_9,V113,9,Personal history of alcoholism,Diagnosis
d_72402_9,72402,9,"Spinal stenosis, lumbar region, without neurogenic claudication",Diagnosis
d_V1202_9,V1202,9,Personal history of poliomyelitis,Diagnosis
d_V454_9,V454,9,Arthrodesis status,Diagnosis
d_33520_9,33520,9,Amyotrophic lateral sclerosis,Diagnosis
d_34690_9,34690,9,"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus",Diagnosis
d_2536_9,2536,9,Other disorders of neurohypophysis,Diagnosis
d_1369_9,1369,9,Unspecified infectious and parasitic diseases,Diagnosis
d_2252_9,2252,9,Benign neoplasm of cerebral meninges,Diagnosis
d_04102_9,04102,9,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B",Diagnosis
d_04184_9,04184,9,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes",Diagnosis
d_80704_9,80704,9,Closed fracture of four ribs,Diagnosis
d_5184_9,5184,9,"Acute edema of lung, unspecified",Diagnosis
d_82111_9,82111,9,Open fracture of shaft of femur,Diagnosis
d_04104_9,04104,9,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]",Diagnosis
d_F10239_10,F10239,10,"Alcohol dependence with withdrawal, unspecified",Diagnosis
d_F39_10,F39,10,Unspecified mood [affective] disorder,Diagnosis
d_F10229_10,F10229,10,"Alcohol dependence with intoxication, unspecified",Diagnosis
d_Z915_10,Z915,10,Personal history of self-harm,Diagnosis
d_Z590_10,Z590,10,Homelessness,Diagnosis
d_9971_9,9971,9,"Cardiac complications, not elsewhere classified",Diagnosis
d_E8844_9,E8844,9,Accidental fall from bed,Diagnosis
d_71941_9,71941,9,"Pain in joint, shoulder region",Diagnosis
d_45182_9,45182,9,Phlebitis and thrombophlebitis of superficial veins of upper extremities,Diagnosis
d_I6032_10,I6032,10,Nontraumatic subarachnoid hemorrhage from left posterior communicating artery,Diagnosis
d_R627_10,R627,10,Adult failure to thrive,Diagnosis
d_B9561_10,B9561,10,Methicillin susceptible Staphylococcus aureus infection as the cause of diseases classified elsewhere,Diagnosis
d_A4151_10,A4151,10,Sepsis due to Escherichia coli [E. coli],Diagnosis
d_K661_10,K661,10,Hemoperitoneum,Diagnosis
d_K7201_10,K7201,10,Acute and subacute hepatic failure with coma,Diagnosis
d_Y848_10,Y848,10,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",Diagnosis
d_I97610_10,I97610,10,Postprocedural hemorrhage of a circulatory system organ or structure following a cardiac catheterization,Diagnosis
d_K7581_10,K7581,10,Nonalcoholic steatohepatitis (NASH),Diagnosis
d_R571_10,R571,10,Hypovolemic shock,Diagnosis
d_J9600_10,J9600,10,"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia",Diagnosis
d_T80219A_10,T80219A,10,"Unspecified infection due to central venous catheter, initial encounter",Diagnosis
d_R188_10,R188,10,Other ascites,Diagnosis
d_I4892_10,I4892,10,Unspecified atrial flutter,Diagnosis
